epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,211.794,1.14645,4.85731,0.2429,1.28359,1.3984,0.85854,0.79605,0.90189,0.43267,0.36205,0.44262,0.19996,0.06321,1.43115,5.52779,0.02468,1.14898,1.55421,0.0010265,0.0010265,0.0010265
61,215.325,1.1059,4.74841,0.19389,1.21314,1.29243,0.85627,0.77049,0.89228,0.44564,0.41342,0.44262,0.20888,0.06891,1.43452,4.8995,0.01584,1.13269,1.55967,0.00101,0.00101,0.00101
62,218.944,1.08241,4.46956,0.19732,1.19585,1.30833,0.84248,0.78689,0.90206,0.43788,0.5322,0.52225,0.31803,0.08727,1.49467,4.78747,0.0143,1.10667,1.60045,0.0009935,0.0009935,0.0009935
63,222.535,1.15131,4.70397,0.22726,1.25485,1.37173,0.84475,0.80283,0.90196,0.43411,0.42355,0.44262,0.2423,0.07248,1.53179,4.95938,0.01704,1.11262,1.62286,0.000977,0.000977,0.000977
64,226.027,1.2077,4.68487,0.19525,1.21395,1.41121,0.85649,0.78275,0.88815,0.46951,0.41514,0.44262,0.22177,0.05999,1.48139,4.98199,0.01864,1.05851,1.57437,0.0009605,0.0009605,0.0009605
65,229.622,1.08236,4.38293,0.2213,1.16488,1.31978,0.84178,0.7377,0.88981,0.44521,0.49895,0.50609,0.3201,0.08895,1.5669,4.58859,0.01544,1.08922,1.6464,0.000944,0.000944,0.000944
66,233.283,1.14476,4.48507,0.2163,1.198,1.38073,0.88283,0.77049,0.90625,0.3886,0.48012,0.52994,0.37816,0.09673,1.72531,4.39825,0.01287,1.16085,1.79593,0.0009275,0.0009275,0.0009275
67,236.804,1.08123,4.56502,0.18815,1.24448,1.32743,0.87115,0.77049,0.90753,0.40191,0.51898,0.63934,0.4432,0.11306,1.68624,4.29797,0.01252,1.10852,1.77202,0.000911,0.000911,0.000911
68,240.292,1.12275,4.36057,0.18429,1.12134,1.31801,0.86171,0.81727,0.9106,0.49688,0.56235,0.58981,0.43541,0.13451,1.45528,4.25631,0.01436,0.98313,1.56717,0.0008945,0.0008945,0.0008945
69,243.879,1.11671,4.4944,0.22498,1.28686,1.33164,0.81179,0.84854,0.9174,0.52117,0.55892,0.47541,0.39308,0.14197,1.39756,4.28412,0.01512,0.92782,1.51842,0.000878,0.000878,0.000878
70,247.446,1.20311,4.74175,0.24547,1.26954,1.45737,0.78888,0.85766,0.92818,0.50457,0.47715,0.54098,0.35849,0.15801,1.44255,4.13569,0.0156,0.95779,1.55323,0.0008615,0.0008615,0.0008615
71,250.939,1.09158,4.33203,0.20034,1.13872,1.29063,0.77504,0.86885,0.9298,0.5321,0.51557,0.60656,0.44922,0.16185,1.38051,3.99703,0.01285,0.95057,1.4882,0.000845,0.000845,0.000845
72,254.551,1.12583,4.44924,0.21501,1.16034,1.32148,0.81552,0.85246,0.9201,0.52485,0.61972,0.58779,0.51002,0.16656,1.3658,4.01854,0.01229,0.95698,1.46828,0.0008285,0.0008285,0.0008285
73,258.057,1.07812,4.19313,0.18986,1.11759,1.28389,0.83318,0.81878,0.91668,0.55517,0.64977,0.60831,0.59395,0.18766,1.31468,3.93028,0.0135,0.96163,1.43045,0.000812,0.000812,0.000812
74,261.967,1.12404,4.42759,0.19705,1.13413,1.31317,0.80485,0.87901,0.9216,0.49119,0.63041,0.60656,0.55227,0.18354,1.43831,3.82314,0.01521,1.02613,1.52488,0.0007955,0.0007955,0.0007955
75,265.417,1.17453,4.5263,0.2427,1.25708,1.40217,0.80485,0.87901,0.9216,0.49119,0.63041,0.60656,0.55227,0.18354,1.43831,3.82314,0.01521,1.02613,1.52488,0.000779,0.000779,0.000779
76,268.905,1.08697,4.23588,0.23849,1.17879,1.35435,0.78202,0.8822,0.91237,0.46701,0.68193,0.67213,0.5961,0.18884,1.44262,3.76972,0.01781,1.06235,1.5505,0.0007625,0.0007625,0.0007625
77,272.406,1.12787,4.43477,0.21129,1.12378,1.33041,0.75983,0.88525,0.91714,0.48184,0.69173,0.66221,0.62366,0.19445,1.42739,3.69303,0.01682,1.02547,1.55426,0.000746,0.000746,0.000746
78,275.868,1.08838,4.40466,0.20288,1.16593,1.30895,0.8283,0.78689,0.91201,0.49476,0.74012,0.70038,0.62488,0.18338,1.3798,3.82895,0.01474,0.95979,1.5299,0.0007295,0.0007295,0.0007295
79,279.369,1.12306,4.25616,0.21533,1.08502,1.28747,0.82668,0.86885,0.90084,0.53046,0.66653,0.68852,0.5589,0.162,1.27696,4.17276,0.01577,0.96297,1.45487,0.000713,0.000713,0.000713
80,282.874,1.08581,3.97798,0.22077,1.09544,1.31294,0.81371,0.86885,0.91182,0.54936,0.53479,0.57377,0.38967,0.0956,1.25861,4.61017,0.01466,0.92091,1.43268,0.0006965,0.0006965,0.0006965
81,286.372,1.0795,4.40605,0.23595,1.17452,1.33116,0.83593,0.83607,0.91181,0.49273,0.47776,0.4918,0.26624,0.07309,1.3765,4.74413,0.01316,0.90157,1.50878,0.00068,0.00068,0.00068
82,289.878,1.11338,4.01975,0.22106,1.15011,1.39136,0.84487,0.83607,0.90921,0.46271,0.5893,0.59016,0.37449,0.10437,1.489,4.38902,0.01256,0.96101,1.59313,0.0006635,0.0006635,0.0006635
83,293.366,1.03251,3.90826,0.19587,1.04754,1.28716,0.83537,0.83607,0.9066,0.46829,0.65266,0.65574,0.50154,0.17689,1.49589,3.80021,0.01264,0.96345,1.5839,0.000647,0.000647,0.000647
84,296.851,1.08683,4.03366,0.21657,1.12079,1.35976,0.82202,0.83607,0.90364,0.48925,0.67473,0.68852,0.53343,0.2032,1.43326,3.5594,0.01447,0.95535,1.53199,0.0006305,0.0006305,0.0006305
85,300.317,1.05714,3.93612,0.2435,1.15721,1.31291,0.81787,0.81967,0.90226,0.50626,0.70593,0.72131,0.60505,0.21533,1.41798,3.48638,0.01504,0.94708,1.52132,0.000614,0.000614,0.000614
86,303.852,1.08006,3.82361,0.24726,1.03289,1.33114,0.83075,0.8047,0.90409,0.48574,0.71638,0.70394,0.59505,0.21729,1.42488,3.58896,0.01597,0.97008,1.5364,0.0005975,0.0005975,0.0005975
87,307.333,1.09359,3.99716,0.21599,1.10307,1.32687,0.83023,0.78689,0.91858,0.45557,0.68938,0.68852,0.63486,0.2253,1.50452,3.514,0.01597,1.00976,1.60434,0.000581,0.000581,0.000581
88,310.833,1.00065,3.97491,0.19668,1.10084,1.29733,0.83926,0.78689,0.91623,0.45081,0.69331,0.67213,0.63746,0.23858,1.5394,3.35069,0.01551,1.03313,1.63339,0.0005645,0.0005645,0.0005645
89,314.298,1.08806,3.90118,0.19155,1.1047,1.30424,0.83813,0.83607,0.91569,0.471,0.72065,0.72131,0.63969,0.24495,1.45035,3.33389,0.01535,1.0229,1.55663,0.000548,0.000548,0.000548
90,317.78,1.0725,3.91266,0.20156,1.08082,1.29726,0.85813,0.85246,0.9102,0.52422,0.78642,0.78474,0.72859,0.27043,1.30834,3.42964,0.01625,0.96493,1.44389,0.0005315,0.0005315,0.0005315
91,321.39,1.0304,3.78794,0.20751,1.11437,1.29883,0.85813,0.85246,0.9102,0.52422,0.78642,0.78474,0.72859,0.27043,1.30834,3.42964,0.01625,0.96493,1.44389,0.000515,0.000515,0.000515
92,324.95,1.0462,3.68688,0.22011,1.0833,1.3267,0.85824,0.85246,0.91136,0.54323,0.76886,0.77049,0.68949,0.23917,1.29801,3.59113,0.01609,0.93757,1.43815,0.0004985,0.0004985,0.0004985
93,328.427,1.10441,3.90951,0.2173,1.12025,1.33104,0.84904,0.83607,0.90911,0.50936,0.67008,0.67213,0.54087,0.16326,1.37519,3.81813,0.01564,0.94048,1.49767,0.000482,0.000482,0.000482
94,331.901,1.09131,3.858,0.21978,1.06266,1.35632,0.81218,0.77984,0.90838,0.46621,0.6988,0.68852,0.62363,0.19241,1.4733,3.66203,0.01477,0.96107,1.57387,0.0004655,0.0004655,0.0004655
95,335.386,1.05829,3.91309,0.2074,1.13141,1.31493,0.82748,0.7863,0.90945,0.46562,0.72609,0.69538,0.69578,0.21205,1.47976,3.61429,0.01478,0.95235,1.57758,0.000449,0.000449,0.000449
96,338.883,1.02769,3.82108,0.21668,1.11689,1.31016,0.84921,0.83097,0.91634,0.47252,0.74926,0.73485,0.73362,0.268,1.45662,3.46414,0.01382,0.9423,1.55842,0.0004325,0.0004325,0.0004325
97,342.347,1.05205,3.64114,0.19024,1.02735,1.26865,0.84161,0.81967,0.91558,0.51491,0.77428,0.7541,0.7911,0.32332,1.39708,3.23309,0.01335,0.91577,1.50412,0.000416,0.000416,0.000416
98,345.925,1.08358,3.6559,0.22296,1.03734,1.31621,0.84518,0.80545,0.91153,0.52202,0.79487,0.76238,0.81294,0.37279,1.37741,3.01972,0.01302,0.91511,1.48311,0.0003995,0.0003995,0.0003995
99,349.861,1.03617,3.72167,0.18973,1.09925,1.27287,0.84952,0.83298,0.90966,0.50115,0.80068,0.80328,0.8121,0.4036,1.43917,2.87696,0.01153,0.91741,1.52669,0.000383,0.000383,0.000383
100,353.413,1.01436,3.78521,0.22473,1.11875,1.31131,0.84801,0.82325,0.91496,0.46844,0.80382,0.80328,0.82372,0.40357,1.54039,2.82918,0.01186,0.94734,1.61248,0.0003665,0.0003665,0.0003665
101,356.904,1.08208,3.62934,0.21995,1.10756,1.3243,0.85598,0.85246,0.93166,0.43335,0.80459,0.80328,0.82772,0.40857,1.63878,2.78043,0.01133,0.97617,1.69748,0.00035,0.00035,0.00035
102,360.396,1.07511,3.74704,0.22796,1.05466,1.35183,0.86582,0.85246,0.93134,0.43296,0.81057,0.80328,0.82881,0.41937,1.62853,2.75451,0.01128,0.95746,1.68213,0.0003335,0.0003335,0.0003335
103,363.9,1.07737,3.60736,0.20066,1.02191,1.26101,0.88503,0.85246,0.93006,0.49282,0.82482,0.80328,0.82803,0.41447,1.50725,2.77156,0.01103,0.93021,1.58115,0.000317,0.000317,0.000317
104,367.445,1.04645,3.84071,0.22009,1.0618,1.29274,0.88534,0.85246,0.92946,0.52433,0.8136,0.7871,0.81758,0.40626,1.38827,2.84513,0.01116,0.89398,1.49197,0.0003005,0.0003005,0.0003005
105,371.043,1.04241,3.44622,0.19419,1.01323,1.30893,0.87933,0.83623,0.92697,0.54086,0.81085,0.77305,0.81706,0.39929,1.36262,2.83813,0.01129,0.87913,1.4737,0.000284,0.000284,0.000284
