epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
88,93.3083,0.47822,0.3714,1.33784,0.02864,0.99904,1,0.995,0.95124,0.35539,0.29354,1.24421,0.01811,0.0002774,0.0002774,0.0002774
89,94.3458,0.47499,0.36908,1.29215,0.03311,0.99903,1,0.995,0.95676,0.35324,0.29222,1.24487,0.01821,0.0002576,0.0002576,0.0002576
90,95.386,0.46231,0.36403,1.30923,0.03096,0.99902,1,0.995,0.95765,0.34766,0.2878,1.24666,0.01825,0.0002378,0.0002378,0.0002378
91,97.3854,0.37089,0.32111,1.26347,0.02483,0.99901,1,0.995,0.95872,0.3449,0.28588,1.24402,0.01808,0.000218,0.000218,0.000218
92,98.6245,0.38694,0.33342,1.32304,0.0243,0.999,1,0.995,0.96164,0.34631,0.286,1.24115,0.01785,0.0001982,0.0001982,0.0001982
93,99.6693,0.36075,0.32312,1.26779,0.02297,0.99899,1,0.995,0.95663,0.34901,0.287,1.23832,0.01767,0.0001784,0.0001784,0.0001784
94,100.676,0.36406,0.32076,1.27123,0.01962,0.99898,1,0.995,0.9518,0.35093,0.28933,1.23602,0.0175,0.0001586,0.0001586,0.0001586
95,101.681,0.3812,0.32718,1.28876,0.0266,0.999,1,0.995,0.95027,0.35199,0.28912,1.23567,0.01746,0.0001388,0.0001388,0.0001388
96,102.663,0.35841,0.321,1.25663,0.02198,0.999,1,0.995,0.9502,0.352,0.28798,1.23584,0.01741,0.000119,0.000119,0.000119
97,103.652,0.37418,0.32305,1.274,0.01816,0.99901,1,0.995,0.9554,0.35037,0.28644,1.23628,0.01749,9.92e-05,9.92e-05,9.92e-05
98,104.713,0.36838,0.31884,1.25879,0.02153,0.99902,1,0.995,0.95291,0.35123,0.28666,1.23754,0.01759,7.94e-05,7.94e-05,7.94e-05
99,105.73,0.37079,0.32184,1.2769,0.02251,0.99903,1,0.995,0.95272,0.35072,0.28511,1.2392,0.01766,5.96e-05,5.96e-05,5.96e-05
100,106.731,0.36005,0.31609,1.26842,0.01887,0.99903,1,0.995,0.95273,0.35007,0.28476,1.23994,0.01767,3.98e-05,3.98e-05,3.98e-05
