epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,191.216,1.08505,5.21618,0.19982,1.18367,1.25468,0.88889,0.65574,0.6455,0.30688,0.25318,0.11475,0.05324,0.00867,1.51226,5.74875,0.01556,1.10636,1.60773,0.0012872,0.0012872,0.0012872
56,194.711,1.18268,5.36158,0.23239,1.23835,1.39643,0.88889,0.65574,0.65203,0.19767,0.33812,0.2459,0.11253,0.02266,1.74282,5.31462,0.01489,1.25472,1.82132,0.001274,0.001274,0.001274
57,198.197,1.19791,5.22327,0.22314,1.16625,1.36765,0.91489,0.70492,0.69679,0.19794,0.48936,0.37705,0.22424,0.05279,1.73059,5.10574,0.01462,1.26765,1.78488,0.0012608,0.0012608,0.0012608
58,201.711,1.1814,5.25653,0.24646,1.17898,1.41243,0.86297,0.72131,0.70909,0.3011,0.39216,0.32787,0.16476,0.04272,1.49475,5.09683,0.01594,1.17043,1.57106,0.0012476,0.0012476,0.0012476
59,205.173,1.20148,5.03827,0.27072,1.37254,1.39869,0.86297,0.72131,0.70909,0.3011,0.39216,0.32787,0.16476,0.04272,1.49475,5.09683,0.01594,1.17043,1.57106,0.0012344,0.0012344,0.0012344
60,208.648,1.14819,5.12488,0.2314,1.25314,1.41433,0.88235,0.7377,0.71431,0.24981,0.37255,0.31148,0.13551,0.0384,1.61775,5.03106,0.01779,1.21751,1.66769,0.0012212,0.0012212,0.0012212
61,212.129,1.09983,4.93631,0.18798,1.21311,1.29028,0.84906,0.7377,0.70404,0.23685,0.35849,0.31148,0.12462,0.03448,1.64908,5.01065,0.02007,1.22969,1.70752,0.001208,0.001208,0.001208
62,215.642,1.1275,4.81527,0.18808,1.1964,1.32761,0.84906,0.7377,0.70822,0.27645,0.32075,0.27869,0.09998,0.02709,1.59714,4.97371,0.01934,1.149,1.67225,0.0011948,0.0011948,0.0011948
63,219.109,1.18373,5.05814,0.21662,1.25747,1.37458,0.85455,0.77049,0.74733,0.32108,0.30909,0.27869,0.08657,0.02696,1.53624,5.0121,0.01759,1.07382,1.6289,0.0011816,0.0011816,0.0011816
64,222.576,1.21438,4.98659,0.18182,1.19932,1.40088,0.84906,0.7377,0.72369,0.38523,0.26415,0.22951,0.06769,0.02249,1.43087,5.03446,0.01555,1.0273,1.54772,0.0011684,0.0011684,0.0011684
65,226.118,1.09806,4.7174,0.20535,1.18632,1.32791,0.91304,0.68852,0.68144,0.36452,0.35276,0.2459,0.10534,0.03344,1.46875,4.84134,0.01407,1.02543,1.56805,0.0011552,0.0011552,0.0011552
66,229.558,1.15144,4.84616,0.20708,1.15118,1.37918,0.97891,0.63934,0.6536,0.30774,0.3965,0.27869,0.17736,0.04515,1.5378,4.84506,0.01301,1.05335,1.62896,0.001142,0.001142,0.001142
67,233.027,1.10514,4.88248,0.17897,1.2329,1.33678,0.86,0.70492,0.6982,0.30879,0.46,0.37705,0.22486,0.04534,1.57693,4.80112,0.01134,1.08378,1.67466,0.0011288,0.0011288,0.0011288
68,236.486,1.15803,4.62487,0.1859,1.12919,1.33794,0.86275,0.72131,0.71122,0.3592,0.45098,0.37705,0.20367,0.03755,1.42779,4.83299,0.01363,1.02843,1.52602,0.0011156,0.0011156,0.0011156
69,239.915,1.11004,4.74873,0.22293,1.28714,1.34093,0.90038,0.65574,0.64734,0.35476,0.39254,0.27869,0.16358,0.02466,1.32594,4.98037,0.01713,0.98103,1.44123,0.0011024,0.0011024,0.0011024
